么	sbr	0.0099999918
进	lfnu	0.0099999917
主	nu	0.0099999911
第	par	0.0099999885
它	gkve	0.0099999876
机	tlaw	0.0099999870
间	qlo	0.0099999846
任	jslo	0.0099999799
义	no	0.0099999746
住	jnu	0.0099999706
路	xw	0.0099999686
万	lve	0.0099999685
风	ano	0.0099999674
求	lhr	0.0099999655
倒	jkve	0.0099999529
增	psjo	0.0099999510
谈	fcce	0.0099999509
惊	hdr	0.0099999508
际	lsw	0.0099999499
注	hsnu	0.0099999491
刘	xve	0.0099999459
甚	mtji	0.0099999458
营	cw	0.0099999454
某	mttr	0.0099999437
获	cllu	0.0099999258
劳	clge	0.0099999257
封	pspo	0.0099999216
托	kssw	0.0099999138
困	ztr	0.0099999107
炮	cmi	0.0099999103
舰	mki	0.0099999102
付	jjo	0.0099999101
货	jvr	0.0099999099
败	smhi	0.0099999096
概	tlfi	0.0099999094
寻	aljo	0.0099999093
评	fljo	0.0099999092
恩	zyu	0.0099999090
介	ave	0.0099999089
探	ksgr	0.0099999087
县	sybr	0.0099999086
脱	cjkr	0.0099999085
移	msxe	0.0099999084
缺	ayu	0.0099999083
画	lzr	0.0099999082
跳	xlgw	0.0099999078
春	mvno	0.0099999076
睡	dkko	0.0099999075
吉	ldki	0.0099999074
端	jsmo	0.0099999073
杂	gmtr	0.0099999071
遗	gjsu	0.0099999068
款	ldw	0.0099999067
刺	tlde	0.0099999066
附	ljo	0.0099999065
爷	jdsi	0.0099999064
央	djyi	0.0099999062
减	ghki	0.0099999061
版	shzu	0.0099999058
徐	fhau	0.0099999054
仙	jmi	0.0099999052
湖	hssu	0.0099999051
钟	qju	0.0099999050
班	gvu	0.0099999047
诗	fpo	0.0099999040
镇	qjao	0.0099999039
域	psfe	0.0099999037
均	pssw	0.0099999036
秦	mvnu	0.0099999035
堂	ndpu	0.0099999025
笔	pge	0.0099999024
饭	tju	0.0099999023
庄	fkpu	0.0099999020
括	kshu	0.0099999019
怒	glu	0.0099999018
补	yfr	0.0099999017
逐	dnu	0.0099999016
毕	vkvw	0.0099999015
席	fkai	0.0099999014
禁	tltw	0.0099999013
剧	mfse	0.0099999012
避	kvnu	0.0099999007
欲	fmdw	0.0099999006
弄	gcr	0.0099999005
忍	vjnu	0.0099999004
旅	hfr	0.0099999003
暴	vaju	0.0099999002
抱	kssi	0.0099998997
洛	hsvw	0.0099998993
缓	tkhu	0.0099998991
迎	jslu	0.0099998990
票	dhsw	0.0099998988
婚	glo	0.0099998986
冰	ghhu	0.0099998983
遍	lsfu	0.0099998980
虑	vhhu	0.0099998979
宁	gkli	0.0099998978
玩	gzr	0.0099998976
熟	dhqe	0.0099998975
谋	fmtr	0.0099998972
叔	fju	0.0099998970
奥	sdki	0.0099998969
俄	jskw	0.0099998962
韩	akvw	0.0099998961
混	hsve	0.0099998960
词	fxli	0.0099998959
盘	mpi	0.0099998958
寒	gklw	0.0099998956
遭	lku	0.0099998955
拍	ksde	0.0099998953
荣	clgr	0.0099998951
卷	jdji	0.0099998950
夏	lfw	0.0099998949
